"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-23","0.63","71","89","67"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-24","0.00","71","78","69"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-25","0.03","72","78",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-26","1.65","72","78","67"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-27","0.00","74","82",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-28","0.04","73","82",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-29","0.00","74","82",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-30",,"74","82",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-31",,"75","85","64"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-02-01",,"77","85",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-02-02",,"76","84",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-02-03",,"76","85",
